mass_A,,
t,x,y
0,-4.53E-02,0.261
0.033,-8.02E-02,0.304
0.067,-0.117,0.332
0.1,-0.157,0.357
0.133,-0.195,0.362
0.167,-0.23,0.361
0.2,-0.268,0.347
0.233,-0.304,0.322
0.267,-0.343,0.283
0.3,-0.385,0.241
0.333,-0.424,0.178
0.367,-0.461,0.102
0.4,-0.505,1.34E-02
