mass_A,,
t,x,y
0,-8.09E-02,0.305
0.033,-0.111,0.346
0.067,-0.138,0.378
0.1,-0.17,0.398
0.133,-0.206,0.412
0.167,-0.236,0.411
0.2,-0.27,0.397
0.233,-0.308,0.37
0.267,-0.342,0.335
0.3,-0.38,0.286
0.333,-0.42,0.224
0.367,-0.461,0.145
0.4,-0.504,4.67E-02
