mass_A,,
t,x,y
0,-0.14,0.273
0.033,-0.177,0.3
0.067,-0.212,0.315
0.1,-0.253,0.325
0.133,-0.291,0.321
0.167,-0.335,0.306
0.2,-0.378,0.285
0.233,-0.42,0.255
0.267,-0.466,0.204
0.3,-0.515,0.141
0.333,-0.568,6.79E-02
